Name
REST APIs
Kanban
Scrum
PostgreSQL
Amazon Web Services (AWS)
React.js
Java
C++
C#
Python
Web Development
HTML
Cascading Style Sheets (CSS)
PHP
Foundation Framework
Bootstrap
JavaScript
Express.js
AngularJS
Node.js
Mobile Application Development
Android
Augmented Reality
SQL
Transact-SQL (T-SQL)
PL/SQL
NoSQL
MongoDB
CouchDB
Spatial Databases
Data Warehousing
SQL Server Integration Services (SSIS)
"Extract, Transform, Load (ETL)"
Game Development
Unity3D
Assembly Language
Prolog
Lisp
NetLogo
Project Management
Blender
Agile Methodologies
Git
Containerization
Docker Products
